positionX, positionY, positionZ, phaseX, phaseY, phaseZ, myocyte_index, flag 
41.065685,40.782843,49.934315,4.074042,4.051414,5.023130,0,0
40.217157,40.500000,49.934315,4.023130,4.062728,5.017473,0,0
41.348528,40.782843,50.217157,4.096669,4.068385,5.040101,0,0
41.065685,40.217157,50.217157,4.062728,4.042929,5.045757,0,0
39.934315,40.217157,50.500000,4.045757,4.054243,5.031615,0,0
40.217157,41.065685,50.500000,4.031615,4.093841,5.034444,0,0
40.217157,40.500000,49.651472,4.051414,4.031615,4.994846,0,0
39.368629,39.934315,50.782843,3.989189,4.011816,5.065556,0,0
40.217157,39.934315,50.500000,4.040101,4.011816,5.045757,0,0
40.782843,41.348528,50.217157,4.065556,4.088184,5.008988,0,0
41.348528,39.934315,50.782843,4.079698,4.045757,5.051414,0,0
41.348528,41.065685,50.500000,4.096669,4.085355,5.079698,0,0
39.934315,40.500000,50.217157,4.042929,4.045757,5.042929,0,0
41.348528,41.348528,49.934315,4.074042,4.099497,5.025958,0,0
39.934315,40.500000,50.782843,4.023130,4.051414,5.065556,0,0
40.500000,39.934315,49.651472,4.054243,4.008988,5.003331,0,0
40.217157,40.217157,51.065685,4.065556,4.045757,5.074042,0,0
40.500000,39.934315,51.348528,4.059899,4.017473,5.096669,0,0
40.782843,41.065685,50.500000,4.062728,4.074042,5.068385,0,0
40.217157,40.500000,50.500000,4.003331,4.062728,5.054243,0,0
39.651472,40.782843,51.065685,3.989189,4.057071,5.079698,0,0
40.217157,40.217157,49.651472,4.051414,4.034444,5.000503,0,0
40.500000,40.217157,50.217157,4.051414,4.045757,5.031615,0,0
40.217157,40.500000,51.348528,4.034444,4.051414,5.079698,0,0
39.934315,40.782843,50.500000,4.011816,4.057071,5.025958,0,0
40.782843,40.782843,49.651472,4.068385,4.042929,4.989189,0,0
41.348528,39.934315,50.217157,4.071213,4.014645,5.037272,0,0
40.500000,40.500000,50.782843,4.065556,4.042929,5.057071,0,0
40.500000,40.782843,49.651472,4.042929,4.065556,5.006159,0,0
40.217157,41.065685,50.782843,4.017473,4.076870,5.062728,0,0
40.500000,39.934315,51.065685,4.034444,4.040101,5.093841,0,0
40.217157,40.782843,49.651472,4.034444,4.057071,5.008988,0,0
40.500000,40.217157,50.500000,4.042929,4.034444,5.045757,0,0
39.651472,40.782843,50.782843,4.020302,4.059899,5.059899,0,0
40.500000,41.348528,50.782843,4.042929,4.085355,5.057071,0,0
40.217157,40.500000,50.217157,4.042929,4.040101,5.057071,0,0
40.782843,40.782843,50.782843,4.059899,4.071213,5.045757,0,0
39.934315,40.782843,49.934315,4.006159,4.068385,5.023130,0,0
39.934315,39.934315,50.500000,4.008988,4.034444,5.059899,0,0
41.065685,39.651472,50.500000,4.065556,4.034444,5.042929,0,0
41.065685,39.651472,50.217157,4.096669,4.023130,5.034444,0,0
39.934315,40.500000,50.782843,4.011816,4.057071,5.042929,0,0
40.217157,40.500000,50.217157,4.023130,4.051414,5.071213,0,0
40.782843,40.782843,50.500000,4.057071,4.048586,5.040101,0,0
40.782843,40.217157,49.934315,4.076870,4.037272,5.020302,0,0
40.782843,39.934315,50.782843,4.045757,4.011816,5.062728,0,0
40.500000,40.782843,49.934315,4.059899,4.074042,5.020302,0,0
40.500000,40.500000,50.782843,4.034444,4.045757,5.071213,0,0
39.651472,40.217157,50.500000,4.014645,4.037272,5.054243,0,0
40.500000,40.217157,50.782843,4.062728,4.025958,5.057071,0,0
41.348528,40.217157,51.065685,4.096669,4.020302,5.054243,0,0
40.500000,40.217157,50.500000,4.031615,4.042929,5.037272,0,0
40.500000,40.782843,50.500000,4.042929,4.068385,5.074042,0,0
41.065685,41.065685,50.500000,4.071213,4.088184,5.042929,0,0
40.217157,40.782843,50.782843,4.028787,4.057071,5.065556,0,0
41.065685,40.782843,50.217157,4.071213,4.065556,5.020302,0,0
40.782843,40.217157,50.500000,4.068385,4.057071,5.068385,0,0
40.782843,40.217157,49.934315,4.088184,4.020302,5.037272,0,0
41.065685,40.217157,51.631371,4.062728,4.017473,5.096669,0,0
41.065685,39.085786,50.500000,4.057071,3.986360,5.034444,0,0
40.217157,40.500000,51.065685,4.051414,4.054243,5.054243,0,0
40.217157,41.065685,50.500000,4.040101,4.082527,5.048586,0,0
41.631371,40.217157,50.500000,4.113640,4.051414,5.031615,0,0
40.500000,39.651472,50.500000,4.040101,4.006159,5.040101,0,0
40.500000,40.500000,49.934315,4.057071,4.051414,5.017473,0,0
40.500000,39.651472,51.348528,4.045757,4.006159,5.091012,0,0
40.500000,40.782843,50.217157,4.062728,4.059899,5.059899,0,0
40.500000,39.934315,50.782843,4.031615,4.040101,5.074042,0,0
39.934315,40.500000,50.782843,4.003331,4.051414,5.040101,0,0
41.348528,40.217157,50.782843,4.096669,4.040101,5.065556,0,0
40.217157,40.500000,49.934315,4.040101,4.042929,5.023130,0,0
40.217157,40.500000,50.500000,4.031615,4.068385,5.045757,0,0
40.500000,41.065685,50.782843,4.062728,4.079698,5.048586,0,0
39.368629,41.065685,50.782843,3.997674,4.051414,5.057071,0,0
40.782843,39.934315,50.500000,4.065556,4.011816,5.062728,0,0
40.500000,40.500000,50.217157,4.051414,4.034444,5.031615,0,0
40.500000,40.500000,50.782843,4.040101,4.068385,5.065556,0,0
39.368629,41.065685,51.348528,3.997674,4.065556,5.082527,0,0
39.934315,41.065685,49.651472,4.025958,4.048586,5.011816,0,0
40.782843,40.782843,50.500000,4.076870,4.079698,5.051414,0,0
41.348528,40.217157,50.500000,4.082527,4.037272,5.068385,0,0
40.217157,40.500000,50.217157,4.037272,4.065556,5.054243,0,0
40.782843,41.065685,50.782843,4.051414,4.079698,5.059899,0,0
39.651472,39.934315,50.500000,4.003331,4.020302,5.042929,0,0
39.934315,40.217157,50.782843,4.006159,4.028787,5.074042,0,0
41.065685,40.500000,50.500000,4.079698,4.068385,5.034444,0,0
40.217157,40.500000,50.782843,4.051414,4.048586,5.048586,0,0
40.782843,40.217157,50.500000,4.045757,4.034444,5.068385,0,0
40.217157,40.217157,50.782843,4.020302,4.057071,5.068385,0,0
39.934315,41.348528,50.500000,4.023130,4.107983,5.057071,0,0
39.934315,39.651472,49.934315,4.034444,4.011816,5.011816,0,0
