positionX, positionY, positionZ, phaseX, phaseY, phaseZ, myocyte_index, flag 
57.677670,54.849242,22.806183,11898.206359,10680.806429,10766.461565,0,0
25.426152,32.236916,101.513359,6055.533152,6964.325137,21328.493119,-1,0
32.102648,48.745880,34.968420,9710.004762,12269.714284,12706.066779,0,0
39.668038,74.603014,44.072231,11003.365866,17044.204057,12127.128515,-1,0
11.053114,3.252696,56.747310,3535.430453,3873.920950,15165.327654,0,0
35.050253,45.798276,27.331667,12228.207371,10497.190597,13480.456185,0,0
37.878680,47.495332,49.110556,9758.379976,9943.188217,15358.591193,0,0
26.282128,27.696342,35.251263,7894.585106,6248.660103,13627.030935,0,0
40.424264,25.716443,65.798276,9140.105606,8629.846039,16177.624492,0,0
54.134785,11.399167,54.152196,9043.485285,6808.663584,11725.539870,-1,0
40.141421,42.969848,52.504668,7364.219775,8649.704426,15310.420250,0,0
44.101219,30.241926,94.082547,10706.313185,9843.099854,20341.827238,0,0
70.827338,33.987119,97.087630,13631.668247,7320.308256,16063.987639,-1,0
46.081118,44.949747,62.969848,10401.793407,9983.474692,15562.860200,0,0
11.149938,24.932535,37.073541,4671.122182,8701.938290,13238.759651,-1,0
22.485996,33.353196,38.928218,6696.035859,6510.454463,15714.707138,0,0
63.262556,2.824603,31.428050,13599.726468,6898.107801,13741.996507,-1,0
57.796847,33.636039,63.252691,11094.350265,10424.253947,15641.459361,0,0
34.201724,33.516861,33.837049,10221.549060,10680.673050,12213.934602,0,0
25.999286,41.555635,13.598694,7547.784990,12907.070844,9391.825784,0,0
42.687006,52.139993,40.342431,11394.786288,13526.693369,14881.760806,0,0
56.829141,23.736544,43.736544,9738.518802,7646.865847,12146.258826,0,0
45.515433,28.262027,59.575736,11978.893259,7682.423997,13477.511792,0,0
50.323759,49.028723,64.666905,12068.294184,12426.289279,15709.582028,0,0
28.544870,43.818377,47.130657,9797.335903,10427.973328,13931.895781,0,0
2.730526,67.067581,113.707536,4635.510192,9182.948464,24216.574616,-1,0
24.585072,46.483139,33.271364,8865.063695,11110.520477,9981.533440,0,0
14.234542,16.069296,51.548938,9048.530362,8883.250794,17200.234590,-1,0
56.148805,10.255518,46.712729,12245.381245,6899.790234,16906.539307,-1,0
61.748689,27.706403,58.547433,12969.477697,11096.921182,13173.688615,-1,0
39.273668,27.662220,63.933729,11086.548835,6674.715583,11601.514948,-1,0
36.181623,20.625274,62.687006,9995.322973,7523.447716,17989.294291,0,0
11.855933,53.668344,6.404931,6941.548022,10615.736819,9030.503897,-1,0
28.021264,7.383810,34.440482,6285.736691,4321.489032,8514.949646,-1,0
32.668333,24.183052,50.524769,8116.280266,7456.311039,13803.445592,0,0
35.050253,46.363961,49.676241,8739.973677,8358.784657,10858.458985,0,0
39.010051,27.294322,80.223254,9084.634493,8689.209933,15666.671960,0,0
46.185781,21.464567,23.070120,12227.522447,4651.195106,12794.831308,-1,0
55.414928,52.422836,105.961941,11169.465298,11398.748880,19936.802131,0,0
36.345289,53.717872,51.656140,8599.906607,12476.270269,13378.313196,0,0
7.495332,50.160094,74.566400,6824.691169,11605.738958,16882.525100,0,0
48.745880,37.595837,26.892302,13272.655068,11202.071757,11548.879185,0,0
75.837284,40.924818,52.503974,16069.521335,8696.882844,17125.362011,-1,0
58.243355,53.554206,27.331667,11896.354804,12775.070168,10789.329398,0,0
21.920310,21.071782,29.877251,8795.077946,6420.962059,10432.676051,0,0
27.696849,29.435670,68.577177,7253.464796,8143.980426,13115.358108,-1,0
9.421884,54.215115,106.673474,7402.033576,9232.832189,18464.384086,-1,0
36.181623,20.625274,73.435029,11468.803372,8708.563717,19081.519709,0,0
0.940736,6.677807,54.587435,8275.997687,6568.374049,16146.994913,-1,0
47.863030,9.163102,61.421758,11299.521255,7864.751099,15524.272404,-1,0
26.304982,11.855941,51.159205,7414.655166,4053.974339,13072.513867,-1,0
28.142850,36.910974,84.748737,9737.558183,9137.108727,19239.198865,0,0
25.880108,41.272792,26.765981,9906.011396,7489.627058,9772.897341,0,0
41.555635,48.909545,43.736544,9573.081230,11740.597213,11264.352420,0,0
47.631819,7.374246,36.420581,10499.400806,5985.708858,11924.223889,-1,0
3.395233,10.702729,44.336864,5911.893453,7078.687904,13876.879126,-1,0
37.878680,40.870772,78.526198,9861.122592,8634.980974,17488.999273,0,0
37.595837,22.039488,96.910974,9967.468623,7546.242450,20743.059425,0,0
29.839906,36.866486,45.716443,7681.685881,10097.314454,13234.991137,0,0
49.192388,37.030152,105.396255,10479.956991,10885.703347,21174.971561,0,0
71.274555,42.182823,50.162410,15517.300990,9681.136959,13727.694389,-1,0
21.637468,45.679098,70.323759,6431.828174,9034.912590,16887.143922,0,0
26.445794,29.393398,15.861436,7299.982452,10279.039670,7668.819472,0,0
35.135109,55.174869,58.027647,8470.385603,11515.350425,15429.440716,-1,0
52.988521,23.051681,41.756645,11792.792505,7336.111657,13266.844883,0,0
31.938983,41.391970,70.889444,7295.835013,12870.484371,16172.915161,0,0
38.444365,47.331667,95.779603,10439.448245,11917.971173,19274.395812,0,0
31.656140,52.020815,93.799704,7482.647311,11497.857001,19629.196539,0,0
22.605173,53.956227,68.909545,7734.674936,9735.837738,17139.470734,0,0
5.147758,27.749180,96.025918,4061.893157,8586.228153,20903.751224,-1,0
20.788939,55.132085,80.788939,7176.890051,10121.521735,17142.406641,0,0
32.221825,43.937554,76.546299,10234.534369,12377.769697,16035.880695,0,0
74.663853,12.891890,43.128588,16848.528263,4730.043037,12437.671193,-1,0
25.716443,51.172287,87.011479,8343.141671,8351.175256,17283.304738,0,0
31.090455,41.436457,25.351768,9143.915497,8154.739304,9435.468814,0,0
57.111984,42.523341,59.292893,12891.888944,11919.339347,13709.253312,0,0
54.119892,36.747309,81.071782,13000.151220,8788.873534,16162.809191,0,0
51.857150,39.858579,81.920310,12361.244336,7800.021479,16590.840724,0,0
4.101213,46.646795,51.373295,6025.514248,12094.464987,12009.049027,0,0
47.778175,39.010051,39.776746,10855.099765,10717.021610,11014.658873,0,0
20.461609,53.717872,85.880108,10285.320518,12385.961172,18565.201651,0,0
29.676241,48.061017,95.779603,7870.263449,13511.654429,21953.631891,0,0
40.022244,34.201724,68.061017,8757.905435,10994.297978,17654.227500,0,0
43.252691,50.323759,61.555635,11203.134895,10603.208531,13205.847024,0,0
42.969848,26.847814,74.283557,9926.620478,7739.528150,17220.691847,0,0
65.150758,12.705678,99.456558,13141.969614,8705.424247,20268.616231,0,0
29.959084,46.081118,57.030152,8036.125795,9136.326827,13146.566020,0,0
32.787511,53.837049,86.445794,8278.292346,12850.947008,18474.658042,0,0
54.566400,26.847814,55.898781,12758.823553,6690.002970,16276.639240,0,0
29.393398,42.969848,64.101219,7995.916769,10239.549170,13421.279833,0,0
48.909545,57.231162,49.110556,11028.411637,12230.115072,13731.736479,0,0
9.361092,70.528388,42.979307,4467.518784,10218.716879,12032.505477,-1,0
53.412178,62.081058,39.909602,10656.802514,16028.397854,10882.160274,-1,0
41.594086,26.320579,102.080253,8599.651464,6650.327941,21047.732741,-1,0
3.994527,37.511288,10.017063,5676.769304,8254.037607,10912.130662,-1,0
21.756645,29.959084,47.130657,9806.480208,10729.401900,11184.067516,0,0
42.687006,38.563543,74.283557,9478.569338,11907.322377,16682.569445,0,0
6.738601,63.090330,72.847501,4117.524124,13482.503709,15643.247696,-1,0
38.444365,25.195245,26.483139,11320.628427,10248.548609,10908.629626,0,0
40.424264,46.363961,39.776746,10821.936457,9353.931256,13203.898238,0,0
21.920310,47.495332,54.201724,6503.696572,10381.824711,13902.146385,0,0
39.292893,49.475231,53.918882,8634.886296,11971.264991,15635.813821,0,0
29.676241,43.252691,44.302229,7778.357616,8165.967020,15376.526249,0,0
46.081118,50.725779,76.546299,11607.125846,13477.547440,16785.990882,0,0
1.772652,63.732720,84.719457,7860.316111,14856.053188,16005.026053,-1,0
48.343860,40.543442,52.504668,9707.875581,12403.518579,15843.103588,0,0
29.959084,22.322330,55.898781,8558.173695,10037.005504,15534.793717,0,0
25.150758,48.180195,68.061017,7361.977619,12083.936812,19562.643649,0,0
27.294322,50.040916,53.070354,8950.281232,12212.253568,13804.387458,0,0
63.224713,38.053615,76.760196,11786.207221,7699.650592,17694.714800,-1,0
48.061017,21.071782,78.809040,10985.490256,8267.423479,20907.249619,0,0
31.656140,23.736544,72.020815,7951.232174,8105.450713,18477.528896,0,0
37.595837,20.506097,32.988521,9193.135786,10106.633543,9690.123421,0,0
21.267159,4.055323,76.499897,10105.085814,4646.524070,19509.430500,-1,0
31.083012,9.421884,48.693646,11816.095500,6432.825357,16722.093706,-1,0
24.585072,47.897352,59.858579,7189.426336,12900.450767,16380.417060,0,0
25.150758,53.152186,36.382634,9144.118292,11535.059303,11513.946972,0,0
36.181623,39.292893,66.646804,10451.121176,9385.313267,15117.589403,0,0
28.142850,54.283557,47.130657,7008.854011,8416.899398,14405.985422,0,0
7.572233,62.272097,78.931334,4809.210318,13942.470184,20027.166858,-1,0
34.038059,32.221825,92.385491,10658.024561,7568.246774,18501.782659,0,0
53.152186,35.050253,72.303658,10160.418265,10150.745044,14724.718047,0,0
7.383805,78.943916,55.516190,4580.652394,11750.968718,15526.872732,-1,0
43.133514,22.203153,45.433600,8217.095085,6521.414485,12251.889265,0,0
44.101219,39.412071,10.361104,10462.429228,10720.900608,12623.256447,0,0
20.223254,55.816948,79.374726,7261.081613,11729.142894,15733.547291,0,0
35.446953,15.885412,48.927881,13426.868026,4949.500758,11910.214753,-1,0
58.737928,32.821374,33.929609,5268.587082,9230.167154,14336.534647,-1,0
51.606718,68.059205,27.819755,14768.139983,12748.072411,13975.641557,-1,0
37.737161,5.336169,80.468347,9243.209314,6161.668309,15260.516259,-1,0
20.800209,45.534156,9.933721,6373.953491,10482.314910,7974.543877,-1,0
56.829837,12.105169,50.888144,8883.935291,3915.652019,14811.950843,-1,0
32.668333,37.030152,79.091883,9739.013296,8841.788568,15858.665594,0,0
59.940411,53.717872,48.544870,12952.459405,11432.115869,13108.585900,0,0
